"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s21",0.0265742111766345,0,0,-0.00060746951051921,0.022444967752594,0.0502794568753455,-1.06062290003198e-06,0.00506789016418292,0,0,0.00394749691084666
"s22",0.0268085571547039,0,0,-0.000639990618681552,0.0226327403930465,0.051553631648742,-2.09139881337494e-05,0.00580485324031457,0,0,0.00359681216535607
"s23",0.0270178444302449,0,0,-0.000669590982236099,0.0228032986758506,0.0527187296420022,-3.90171710913713e-05,0.0064780596657976,0,0,0.00327728128609951
"s24",0.0272085456273133,0,0,-0.000696561627815069,0.0229587026801112,0.0537803192944391,-5.55121551325349e-05,0.00709146181790903,0,0,0.00298613664946688
"s25",0.0273823054910834,0,0,-0.000721136275760197,0.0231003010257433,0.0547476002142924,-7.05417701129497e-05,0.00765037099934153,0,0,0.00272085649990146
"s26",0.0275406290074185,0,0,-0.000743527779715266,0.023229320164642,0.0556289505632754,-8.42361955227215e-05,0.0081596282295447,0,0,0.00247914310765976
"s27",0.0276891828402707,0,0,-0.000763997194847615,0.0233485229515769,0.0564272813217433,-9.66758165389915e-05,0.00862057874074921,0,0,0.00225890286697571
"s28",0.0278202063730337,0,0,-0.000782581389764047,0.0234554981967627,0.0571594421728398,-0.000108048468229855,0.00904364450922598,0,0,0.0020582281622491
"s29",0.0279024625233314,0,-0.000112088689187761,-0.000798723401276883,0.0235983013909302,0.057815211951543,-0.000118602678756207,0.00942411713074609,0,0,0.0018753808451919
"s30",0.0276373119116616,0,-0.000979015312769117,-0.000821129087559484,0.0239515714122498,0.0584729782110843,-0.000129476705388807,0.00982886892989532,0.00147366868505361,0,0.0017087771798193
"s31",0.0276875568346175,0,-0.00153711560895715,-0.00085001119229874,0.0240713454688189,0.0590010068285318,-0.000139349662029785,0.0102568464332735,0.00363893956709734,0,0.00155697412488631
"s32",0.0276821814349668,0,-0.00207318422651863,-0.000875631765757016,0.0241979302248778,0.0595095219963927,-0.000148434648651331,0.0106504017184759,0.00557401017107746,0,0.00141865683495483
"s33",0.0277241545630774,0,-0.00272161884881837,-0.000895361339946696,0.0242366630692169,0.0601799501297134,-0.00015408470001576,0.0121203006177212,0.00843888055522108,0.00135302504082479,0.00129262727183152
"s34",0.0278307449210369,0,-0.00350292502526194,-0.000908796211000403,0.0241670811527138,0.061045316808977,-0.000156143246730149,0.0148322157452988,0.012405290666543,0.00420022966918866,0.00117779382773411
"s35",0.0279294190850089,0,-0.0042138607650152,-0.000921011698436412,0.0240993610257109,0.0618388559954238,-0.000158003494188087,0.017321556569417,0.0160386870549097,0.00681017549991136,0.001073161870307
"s36",0.028019281244425,0,-0.00486137480276112,-0.000932200762284135,0.0240415721557039,0.0625556440586766,-0.000159714017069086,0.0195693361236087,0.0193294457799267,0.00917079667217622,0.000977825127591705
"s37",0.0281012034131778,0,-0.00545162891483255,-0.00094233760233278,0.0239850427185743,0.0632149477663697,-0.000161257206263793,0.0216376382733734,0.0223475165029913,0.0113389948665877,0.000890957838332634
"s38",0.0281759056467325,0,-0.00598909962033744,-0.000951634645401725,0.0239374028461712,0.0638093741554592,-0.000162678765257725,0.0235017442316216,0.0250776794165309,0.0132970779443264,0.0008118075996282
"s39",0.0282439055957189,0,-0.0064791733253944,-0.000960045464201607,0.0238901695211247,0.0643572422722504,-0.000163958732238835,0.0252205044191582,0.0275848929477537,0.0150985396661245,0.00073968884997682
