"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s10",0.0021177038807561,3.11519112100927e-07,0.000424673004758709,-1.01703933894139e-05,0.00107235235002843,0.00250128526275719,-6.88481351880089e-06,0.000807203530517373,0.000320386566804075,-0.00054481155833347,70.8531176203355
"s11",0.00232204997688408,3.42347795209734e-07,0.000465446435267441,-1.11699736374685e-05,0.00117589125481428,0.0027429635094746,-7.55268251679793e-06,0.000885074177736094,0.000350847542252238,-0.000596978271633954,64.5587219359134
"s12",0.00254588946053577,3.76271907238908e-07,0.000510067820161517,-1.22685988018106e-05,0.00128932018474791,0.00300776146368699,-8.2849799638713e-06,0.000970369224410646,0.000384123309517741,-0.000654039245509886,58.8235030155171
"s13",0.0027910365313644,4.13610462487884e-07,0.00055888683756943,-1.34762360798052e-05,0.00141356229862264,0.00329784415081478,-9.08784866148281e-06,0.00106377883835063,0.00042045773536373,-0.000716433272639757,53.5977851366303
"s14",0.00305946801305414,4.54706667034239e-07,0.000612285075087201,-1.48038989056534e-05,0.0015496228666683,0.00361556887432893,-9.96799159217018e-06,0.00116605367670108,0.000460112519260804,-0.000784634343938902,48.8363056310093
"s15",0.00335332484358843,4.99968960359077e-07,0.000670667374594315,-1.62637017313023e-05,0.00169859469753498,0.00396350462142502,-1.09327622349423e-05,0.00127800988937829,0.000503368027372108,-0.000859153626977659,44.4978228411043
"s16",0.00367493985636625,5.4982338145201e-07,0.000734478394408281,-1.786906257879e-05,0.0018616662043883,0.00434444268017358,-1.19901623756971e-05,0.00140053336461698,0.000550523564175013,-0.000940541335117915,40.5447589045523
"s17",0.00402684165720721,6.04750907948452e-07,0.000804195240354745,-1.9634791883476e-05,0.00204012757005683,0.00476141717911715,-1.31489351817644e-05,0.00153458505769402,0.000601897882500079,-0.00102938848489199,36.9428742727108
"s18",0.00441177051519273,6.65285177026679e-07,0.000880331391535249,-2.15772577410691e-05,0.00223537822710392,0.0052177220334057,-1.44186189838211e-05,0.00168120603095968,0.000657829287285316,-0.0011263284350018,33.6609711440677
"s19",0.00483269232830318,7.32018487950836e-07,0.000963438334907462,-2.371455711355e-05,0.00244893435645267,0.0057169293688944,-1.58096135878493e-05,0.00184152267120809,0.000718675503563372,-0.00123203813759926,30.6706232438101
"s20",0.00529281272693959,8.05608477061302e-07,0.00105410701742812,-2.60667065238197e-05,0.00268243654217082,0.00626290847232695,-1.73332509086969e-05,0.00201675194224591,0.000784813209098554,-0.00134723899860313,27.9459296090312
"s21",0.00579559112048141,8.86785523548393e-07,0.00115296904252538,-2.86558543805099e-05,0.00293765750081163,0.00685984510141097,-1.90018699519348e-05,0.00220820659631266,0.000856637159932039,-0.00147269722639546,25.4632902469806
"s22",0.00634475444256435,9.76360942130515e-07,0.00126069752327022,-3.15065172434899e-05,0.00321650978189582,0.007512260940106,-2.0828896104876e-05,0.00241730024921151,0.000934558829344678,-0.00160922352599072,23.2012017232177
"s23",0.00694431029357252,1.07523601328881e-06,0.0013780074884142,-3.46458424963332e-05,0.00352105331096133,0.00822503292797058,-2.28289246146406e-05,0.00264555220243875,0.00101900447384597,-0.00175767197093158,21.1400709091502
"s24",0.00759855911342391,1.18441189183188e-06,0.00150565571945127,-3.81039000226045e-05,0.00385350261792764,0.00900341212735274,-2.50178080279421e-05,0.00289459187114245,0.00111041253450462,-0.00191893785782097,19.2620452757271
"s25",0.00831210494377091,1.30500041885013e-06,0.00164443987713072,-4.19140055727855e-05,0.00421623356123879,0.00985304171811417,-2.74127472403582e-05,0.00316616264938583,0.00120923027925785,-0.00209395431879557,17.5508582633735
"s26",0.0090898642561999,1.4382358388433e-06,0.00179519675459341,-4.6113078537958e-05,0.00461178932242697,0.0107799736262607,-3.00323856483122e-05,0.00346212501407182,0.00131590959307487,-0.0022836874358435,15.9916883888333
"s27",0.00993707223225127,1.58548739092014e-06,0.00195879947187554,-5.07420367897479e-05,0.00504288540662975,0.0117906832004724,-3.28969057104399e-05,0.00378445863633389,0.00143090182964471,-0.00248912956841545,14.5710308685719
"s28",0.0108592857829872,1.74827269811218e-06,0.00213615340346162,-5.58462310722188e-05,0.00551241334271103,0.0128920812497392,-3.6028127001592e-05,0.00413526323481196,0.00155465165262938,-0.00271129057338141,13.2765806468022
"s29",0.0118623824920005,1.9282718193625e-06,0.0023281906076459,-6.1475921102501e-05,0.00602344273281624,0.0140915226474177,-3.94496045770798e-05,0.00451675786994794,0.00168758981888756,-0.00295118656559748,12.097125814978
"s30",0.0129525545586668,2.12734175178689e-06,0.00253586250473208,-6.76867950080714e-05,0.00657922125668477,0.0153968105941503,-4.31867261511287e-05,0.00493127834362094,0.00183012489325188,-0.0032098258402594,11.0224504996062
"s31",0.0141362967116723,2.34753107343453e-06,0.00276013053194387,-7.45405329479051e-05,0.00718317219258168,0.0168161955173896,-4.72668062257105e-05,0.00538127233598292,0.0019826339376068,-0.00348819155754478,10.043246377238
"s32",0.0154203869612815,2.59109429623899e-06,0.0030019544880717,-8.21054146740714e-05,0.00783888897660522,0.0183583674731195,-5.17191748775968e-05,0.00586929188375647,0.00214545228959545,-0.0037872207792005,9.15103205022394
"s33",0.0168118589688447,2.86050535289044e-06,0.00326227827246981,-9.04569693268048e-05,0.00855012628832072,0.0200324408115618,-5.65752584162688e-05,0.00639798278471702,0.00231886264178662,-0.0041077794498819,8.33807958490567
"s34",0.0183179647417563,3.15846946869231e-06,0.00354201272355658,-9.96786638546266e-05,0.00932078712679306,0.0218479297806038,-6.1868648557321e-05,0.00697007050556932,0.00250308375385486,-0.00445063293812099,7.59734757595121
"s35",0.0199461263213292,3.48793247039694e-06,0.00384201527433252,-0.000109862624048733,0.010154905331455,0.02381471367749,-6.76351561103507e-05,0.00758834217968664,0.0026982592809439,-0.00481641179840874,6.92242015707082
"s36",0.0217038751315046,3.85208636121761e-06,0.00416306616977896,-0.000121110379222491,0.0110566230118023,0.0259429901318084,-7.39128444541965e-05,0.00825562431269798,0.00290444738240264,-0.00520557249316376,6.30745142985257
"s37",0.0235987777112485,4.25436975064358e-06,0.00450584103666018,-0.000133533618013046,0.0120301623840901,0.0282432151234382,-8.07420372663024e-05,0.00897475587376086,0.00312161198611838,-0.00561835292769827,5.74711482938701
"s38",0.0256383466774461,4.69846147959431e-06,0.0048708796635242,-0.000147254938618588,0.0130797915777087,0.0307260284216295,-8.81652940926816e-05,0.00974855654495103,0.00334961682159714,-0.00605472280880766,5.23655698811019
"s39",0.0278299359732671,5.18826554142673e-06,0.00525855094059968,-0.000162408572034485,0.0142097840743154,0.0334021632902663,-9.62273464039771e-05,0.010579790036827,0.00358822359289987,-0.00651432904352176,4.77135569825571
"s40",0.0301806197641669,5.72788518920025e-06,0.00566901402822555,-0.000179141051586112,0.0154243715840384,0.0362823395539951,-0.00010497498580593,0.0114711225604355,0.003837095928935,-0.00699643665228088,4.34748160880671
"s41",0.0326970547630986,6.32158396812616e-06,0.00610217596984107,-0.000197611796410025,0.0167276903488144,0.0393771394734181,-0.000114456895098546,0.0124250767787759,0.00409581100612496,-0.00749986598086423,3.96126332518494
"s42",0.0353853263079883,6.97373135494679e-06,0.00655764614140799,-0.000217993570715712,0.0181237210947691,0.0426968663452637,-0.000124723411966075,0.0134439818453495,0.00436388096337187,-0.00802292735415304,3.60935560938745
"s43",0.0382510081053846,7.68841844267589e-06,0.00703479368595346,-0.000240471118905853,0.0196162501479838,0.0462513848763007,-0.000135825946423185,0.0145299102853499,0.00464075446961885,-0.00856335086691166,3.28871040513532
"s44",0.0412981565710993,8.47045884317568e-06,0.00753232485200165,-0.000265247308029921,0.0212086985339334,0.050049947494104,-0.000147817531819275,0.0156846591581487,0.00492597410257426,-0.0091182346023613,2.99655043706842
"s45",0.044530247598927,9.32380156394403e-06,0.00804873887528035,-0.000292534515986805,0.0229041864300018,0.0541010110474314,-0.000160751013673796,0.0169096470793266,0.00521909440124162,-0.00968396403003384,2.7303451553149
"s46",0.0479492803474799,1.02522888951339e-05,0.00858196961376527,-0.000322559341892626,0.0247053689164501,0.058412034036694,-0.000174679231245608,0.0182058913050308,0.00551985285883693,-0.0102561673421532,2.48778881707885
"s47",0.0515557367327203,1.12592928195843e-05,0.00912940971889514,-0.000355560481133559,0.0266143785147984,0.0629892731918641,-0.000189654090719927,0.0195739532249207,0.00582825274355469,-0.0108296660791418,2.26678051539926
